municipio,comarca,provincia
Tapis - Maçanet de Cabrenys,Alt Empordà,Girona
Terrades,Alt Empordà,Girona
Sant Jaume de Llierca,Garrotxa,Girona
Colomers,Baix Empordà,Girona
Ordis,Alt Empordà,Girona
Cantallops,Alt Empordà,Girona
La Jonquera,Alt Empordà,Girona
Sant Julià de Ramis,Gironès,Girona
Colera,Alt Empordà,Girona
Darnius,Alt Empordà,Girona
Garriguella,Alt Empordà,Girona
Rupià,Baix Empordà,Girona
Sant Jordi Desvalls,Gironès,Girona
SANT JORDI DESVALLS,Gironès,Girona
Sant LLorenç de la Muga,Alt Empordà,Girona
Salt,Gironès,Girona
Figueres,Alt Empordà,Girona
Santa Cristina d'Aro,Baix Empordà,Girona
Agullana,Alt Empordà,Girona
Llers,Alt Empordà,Girona
Regencós,Baix Empordà,Girona
Palau-Savardera,Alt Empordà,Girona
Espolla,Alt Empordà,Girona
Roses,Alt Empordà,Girona
Cadaqués,Alt Empordà,Girona
Maçanet de Cabrenys,Alt Empordà,Girona
Llagostera,Gironès,Girona
Palafrugell,Baix Empordà,Girona
Bellcaire d'Empordà,Baix Empordà,Girona
Canet D'Adri -Rocacorba,Gironès,Girona
Tapis -Maçanet de Cabrenys,Alt Empordà,Girona
Girona,Gironès,Girona
Viladamat,Alt Empordà,Girona
Portbou,Alt Empordà,Girona
Beuda,Garrotxa,Girona
La Selva de Mar,Alt Empordà,Girona
Besalú,Garrotxa,Girona
Orriols,Alt Empordà,Girona
Ventalló,Alt Empordà,Girona
Bàscara,Alt Empordà,Girona
Avinyonet de puigventòs,Alt Empordà,Girona
Cabanes,Alt Empordà,Girona
Sant feliu de Guixols,Baix Empordà,Girona
BEGUR,Baix Empordà,Girona
SANTA LLOGAIA d'ALGEMA,Alt Empordà,Girona
Siurana d'Empordà,Alt Empordà,Girona
Garrigàs,Alt Empordà,Girona
La Bisbal,Baix Empordà,Girona
LLagostera,Gironès,Girona
Palau Saverdera,Alt Empordà,Girona
L'Escala,Alt Empordà,Girona
Els Àngels,Gironès,Girona
Canet d'Adri,Gironès,Girona
Cim de Sant Miquel,Vallès Oriental,Catalunya
Cassà de la Selva,Gironès,Girona
Cervià de Ter,Gironès,Girona
Tapis -Maçanet de la Selva,,
Avinyonet de Puigventós,Alt Empordà,Girona
Amer,la Selva,Girona
Vilafant,Alt Empordà,Girona
Vilavenut (Fontcoberta),Pla de l'Estany,Girona
Vilajuiga,Alt Empordà,Girona
LA JONQUERA,Alt Empordà,Girona
Sant Martí Vell,Gironès,Girona
Navata,Alt Empordà,Girona
SANT LLORENÇ DE LA MUGA,Alt Empordà,Girona
Calonge i Sant Antoni,Baix Empordà,Girona
Palau-Saverdera,Alt Empordà,Girona
Torroella de Montgrí,Baix Empordà,Girona
SANT MIQUEL,Bages,Catalunya
BÀSCARA,Alt Empordà,Girona
Sant Feliu de Guixols,Baix Empordà,Girona
Calabuig - Bàscara,Alt Empordà,Girona
Castelló d'Empúries,Alt Empordà,Girona
Palamós,Baix Empordà,Girona
LA CELLERA DE TER,la Selva,Girona
BELLCAIRE D'EMPORDÀ,Baix Empordà,Girona
GIRONA -ST MIQUEL,Garrotxa,Girona
VILADAMAT,Alt Empordà,Girona
VENTALLÓ,Alt Empordà,Girona
CAPMANY,Alt Empordà,Girona
Vilajuïga,Alt Empordà,Girona
AMER,la Selva,Girona
Port de la Selva,la Selva,Girona
Calabuig (Bàscara),Alt Empordà,Girona
MAIÀ DE MONTCAL,Garrotxa,Girona
SIURANA,Alt Empordà,Girona
SANT FELIU DE PALLEROLS,Garrotxa,Girona
TERRADES,Alt Empordà,Girona
CASTELLÓ D'EMPÚRIES,Alt Empordà,Girona
ORDIS,Alt Empordà,Girona
GIRONA,Gironès,Girona
Begur,Baix Empordà,Girona
ROSES,Alt Empordà,Girona
SALT,Gironès,Girona
PALAU-SAVERDERA,Alt Empordà,Girona
Palau Savardera,Alt Empordà,Girona
Maià de Montcal,Garrotxa,Girona
Capmany,Alt Empordà,Girona
Calabuig -Bàscara,Alt Empordà,Girona
Rocacorba,Baix Camp,Tarragona
